IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
47.236.123.133,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",513,3.09
8.219.189.143,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",473,3.05
8.219.111.147,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",480,2.97
47.237.95.156,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",489,2.87
47.245.102.52,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",493,2.81
8.219.191.110,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",461,2.81
47.236.169.15,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",475,2.79
8.219.189.143,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",474,2.76
8.222.156.242,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",468,2.59
47.237.82.15,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",565,2.53
47.236.9.152,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",468,2.51
8.219.177.205,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",461,2.51
8.219.111.147,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",458,2.46
47.236.165.25,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",488,2.43
47.237.14.220,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",449,2.40
8.222.184.198,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",519,2.37
47.236.102.102,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",490,2.35
47.237.0.31,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",525,2.32
8.219.177.205,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",448,2.32
47.236.104.11,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",465,2.29
47.236.17.193,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",468,2.21
8.222.137.192,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",479,2.20
8.219.222.98,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",468,2.15
8.222.137.192,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",468,2.13
47.236.9.152,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",462,2.06
47.236.144.156,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",489,2.05
47.237.0.31,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",489,2.01
47.236.180.24,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",470,1.96
8.222.193.65,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",439,1.93
47.236.166.131,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",489,1.92
47.237.100.206,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",457,1.92
47.236.165.25,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",462,1.92
8.219.189.143,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",464,1.92
47.236.93.176,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",459,1.88
47.236.165.25,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",458,1.78
8.219.209.14,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",476,1.78
47.236.189.92,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",490,1.76
8.219.222.98,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",494,1.73
8.219.177.205,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",441,1.72
47.236.97.90,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",459,1.70
47.236.170.225,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",492,1.66
8.219.191.40,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",468,1.52
47.236.232.148,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",525,1.50
47.237.8.82,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",521,1.48
8.219.177.205,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",461,1.45
47.236.174.206,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",497,1.33
47.236.121.23,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",463,1.31
47.236.253.41,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",439,1.30
47.236.5.223,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",457,1.30
47.236.232.148,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",567,1.28
47.245.114.163,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",480,1.24
47.237.8.82,2052,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",492,1.23
47.236.17.193,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",466,1.22
8.222.249.190,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",519,1.20
8.219.139.13,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",520,1.15
47.245.102.52,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",541,1.14
8.219.237.250,80,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",466,1.13
47.236.10.100,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",493,1.04
47.236.102.102,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",487,0.65
47.245.96.80,2082,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",455,0.64
47.236.189.92,8880,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",451,0.58
47.237.84.173,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",463,0.56
47.237.84.173,8080,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",488,0.52
47.236.202.91,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",565,0.48
47.236.253.41,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",493,0.42
47.237.8.82,2095,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",464,0.39
47.236.167.231,2086,FALSE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",450,0.27
